slug                                               lang   st      metric  floor  faqH3  faqBtn         ld         h2        cta
how-to-build-a-data-first-culture-in-traditional-e en     OK        2962   2500      3       3          B      12/14         ok
how-to-build-a-data-first-culture-in-traditional-e zh-cn  OK        4201   3500      3       3          B      10/12         ok
how-to-build-a-data-first-culture-in-traditional-e zh-tw  OK        4209   3500      3       3          B      10/12         ok
data-lineage-automation-tools                      en     OK        2558   2500      3       3         HB      12/16         ok
data-lineage-automation-tools                      zh-cn  BELOW     3003   3500      3       3         HB       9/12         ok
data-lineage-automation-tools                      zh-tw  BELOW     3019   3500      3       3         HB      10/12         ok
semantic-layer-roi-enterprise-analytics            en     BELOW     2107   2500      3       3         HB      10/11         ok
semantic-layer-roi-enterprise-analytics            zh-cn  BELOW     3072   3500      3       3         HB       8/11         ok
semantic-layer-roi-enterprise-analytics            zh-tw  BELOW     3076   3500      3       3         HB      10/11         ok
knowledge-management-consulting-firms              en     OK        2533   2500      3       3         HB      11/15         ok
knowledge-management-consulting-firms              zh-cn  BELOW     3086   3500      3       3         HB       9/12         ok
knowledge-management-consulting-firms              zh-tw  BELOW     3103   3500      3       3         HB      10/12         ok
architecture-of-an-enterprise-ai-agent             en     OK        2640   2500      3       3         HB      10/14         ok
architecture-of-an-enterprise-ai-agent             zh-cn  BELOW     2233   3500      3       3         BB        6/8         ok
architecture-of-an-enterprise-ai-agent             zh-tw  BELOW     2234   3500      3       3         BB        7/8         ok
vector-embeddings-enterprise-search                en     OK        2602   2500      3       3         HB      16/17         ok
vector-embeddings-enterprise-search                zh-cn  BELOW     1963   3500      3       3         HB        7/8         ok
vector-embeddings-enterprise-search                zh-tw  BELOW     1961   3500      3       3         HB        7/8         ok
ai-governance-frameworks-enterprise-data-platforms en     OK        2657   2500      3       3         HB      14/15         ok
ai-governance-frameworks-enterprise-data-platforms zh-cn  BELOW     2349   3500      3       3         HB        6/7         ok
ai-governance-frameworks-enterprise-data-platforms zh-tw  BELOW     2349   3500      3       3         HB        6/7         ok
how-to-choose-conversational-bi-platform-buyers-gu en     OK        2585   2500      3       3         HB      13/15         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-cn  BELOW     2303   3500      3       3         HB        6/7         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-tw  BELOW     2303   3500      3       3         HB        6/7         ok
cross-border-data-governance-framework             en     OK        2602   2500      3       3         HB      14/15         ok
cross-border-data-governance-framework             zh-cn  BELOW     1971   3500      3       3         HB        7/8         ok
cross-border-data-governance-framework             zh-tw  BELOW     1982   3500      3       3         HB        7/8         ok
federated-learning-for-privacy-preserving-enterpri en     BELOW     2401   2500      3       3         BB      13/14         ok
federated-learning-for-privacy-preserving-enterpri zh-cn  BELOW     2034   3500      3       3         BB        7/8         ok
federated-learning-for-privacy-preserving-enterpri zh-tw  BELOW     2047   3500      3       3         BB        7/8         ok
multi-lingual-analytics-supporting-global-teams    en     BELOW     2413   2500      3       3         BB      14/15         ok
multi-lingual-analytics-supporting-global-teams    zh-cn  BELOW     1980   3500      3       3         BB        7/8         ok
multi-lingual-analytics-supporting-global-teams    zh-tw  BELOW     1998   3500      3       3         BB        7/8         ok
best-llm-frameworks-enterprise-development-2026    en     OK        2590   2500      3       3         HB       6/10         ok
best-llm-frameworks-enterprise-development-2026    zh-cn  BELOW     2123   3500      3       3         HB        1/5         ok
best-llm-frameworks-enterprise-development-2026    zh-tw  BELOW     2123   3500      3       3         HB        1/5         ok
ai-regulation-united-states-2026                   en     OK        2769   2500      3       3         HB       6/14         ok
ai-regulation-united-states-2026                   zh-cn  BELOW     1924   3500      3       3         HB        0/8         ok
ai-regulation-united-states-2026                   zh-tw  BELOW     1922   3500      3       3         HB        0/8         ok
insurance-claims-ai-processing                     en     OK        2538   2500      3       3         HB       9/14         ok
insurance-claims-ai-processing                     zh-cn  BELOW     2222   3500      3       3         HB        4/8         ok
insurance-claims-ai-processing                     zh-tw  BELOW     2222   3500      3       3         HB        4/8         ok
what-is-agentic-bi-autonomous-analytics            en     OK        2571   2500      3       3         HB      10/15         ok
what-is-agentic-bi-autonomous-analytics            zh-cn  BELOW     2514   3500      3       3         HB       3/10         ok
what-is-agentic-bi-autonomous-analytics            zh-tw  BELOW     2465   3500      3       3         HB        2/9         ok
rows: 45
