slug                                               lang   st      metric  floor  faqH3  faqBtn         ld         h2        cta
how-to-build-a-data-first-culture-in-traditional-e en     OK        2962   2500      3       3          B      12/14         ok
how-to-build-a-data-first-culture-in-traditional-e zh-cn  OK        4201   3500      3       3          B      10/12         ok
how-to-build-a-data-first-culture-in-traditional-e zh-tw  OK        4209   3500      3       3          B      10/12         ok
data-lineage-automation-tools                      en     OK        2562   2500      0       3          H      12/16         ok
data-lineage-automation-tools                      zh-cn  BELOW     3003   3500      0       3          H       9/12         ok
data-lineage-automation-tools                      zh-tw  BELOW     3019   3500      0       3          H      10/12         ok
semantic-layer-roi-enterprise-analytics            en     BELOW     2107   2500      0       3          H      10/11         ok
semantic-layer-roi-enterprise-analytics            zh-cn  BELOW     3072   3500      0       3          H       8/11         ok
semantic-layer-roi-enterprise-analytics            zh-tw  BELOW     3076   3500      0       3          H      10/11         ok
knowledge-management-consulting-firms              en     OK        2537   2500      0       3          H      11/15         ok
knowledge-management-consulting-firms              zh-cn  BELOW     3086   3500      0       3          H       9/12         ok
knowledge-management-consulting-firms              zh-tw  BELOW     3103   3500      0       3          H      10/12         ok
architecture-of-an-enterprise-ai-agent             en     OK        2643   2500      0       3          H      10/14         ok
architecture-of-an-enterprise-ai-agent             zh-cn  BELOW     2233   3500      0       3          B        6/8         ok
architecture-of-an-enterprise-ai-agent             zh-tw  BELOW     2234   3500      0       3          B        7/8         ok
vector-embeddings-enterprise-search                en     OK        2606   2500      0       3          H      16/17         ok
vector-embeddings-enterprise-search                zh-cn  BELOW     1963   3500      0       3          H        7/8         ok
vector-embeddings-enterprise-search                zh-tw  BELOW     1961   3500      0       3          H        7/8         ok
ai-governance-frameworks-enterprise-data-platforms en     OK        2660   2500      0       3          H      14/15         ok
ai-governance-frameworks-enterprise-data-platforms zh-cn  BELOW     2349   3500      0       3          H        6/7         ok
ai-governance-frameworks-enterprise-data-platforms zh-tw  BELOW     2349   3500      0       3          H        6/7  NO_PHRASE
how-to-choose-conversational-bi-platform-buyers-gu en     OK        2588   2500      0       3          H      13/15         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-cn  BELOW     2303   3500      0       3          H        6/7         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-tw  BELOW     2303   3500      0       3          H        6/7  NO_PHRASE
cross-border-data-governance-framework             en     OK        2606   2500      0       3          H      14/15         ok
cross-border-data-governance-framework             zh-cn  BELOW     1971   3500      0       3          H        7/8         ok
cross-border-data-governance-framework             zh-tw  BELOW     1982   3500      0       3          H        7/8         ok
federated-learning-for-privacy-preserving-enterpri en     BELOW     2401   2500      3       3          B      13/14         ok
federated-learning-for-privacy-preserving-enterpri zh-cn  BELOW     2030   3500      3       3          B        7/8         ok
federated-learning-for-privacy-preserving-enterpri zh-tw  BELOW     2043   3500      3       3          B        7/8         ok
multi-lingual-analytics-supporting-global-teams    en     BELOW     2413   2500      3       3          B      14/15         ok
multi-lingual-analytics-supporting-global-teams    zh-cn  BELOW     1976   3500      3       3          B        7/8         ok
multi-lingual-analytics-supporting-global-teams    zh-tw  BELOW     1994   3500      3       3          B        7/8         ok
best-llm-frameworks-enterprise-development-2026    en     OK        2591   2500      3       3          H       6/10         ok
best-llm-frameworks-enterprise-development-2026    zh-cn  BELOW     2123   3500      3       3          H        1/5         ok
best-llm-frameworks-enterprise-development-2026    zh-tw  BELOW     2123   3500      3       3          H        1/5  NO_PHRASE
ai-regulation-united-states-2026                   en     OK        2769   2500      3       3          H       6/14         ok
ai-regulation-united-states-2026                   zh-cn  BELOW     1924   3500      3       3          H        0/8         ok
ai-regulation-united-states-2026                   zh-tw  BELOW     1922   3500      3       3          H        0/8         ok
insurance-claims-ai-processing                     en     OK        2538   2500      3       3          H       9/14         ok
insurance-claims-ai-processing                     zh-cn  BELOW     2222   3500      3       3          H        4/8         ok
insurance-claims-ai-processing                     zh-tw  BELOW     2222   3500      3       3          H        4/8  NO_PHRASE
what-is-agentic-bi-autonomous-analytics            en     OK        2571   2500      3       3          H      10/15         ok
what-is-agentic-bi-autonomous-analytics            zh-cn  BELOW     2514   3500      3       3          H       3/10         ok
what-is-agentic-bi-autonomous-analytics            zh-tw  BELOW     2465   3500      3       3          H        2/9         ok
rows: 45
