slug                                               lang   st      metric  floor  faqH3  faqBtn         ld         h2        cta
how-to-build-a-data-first-culture-in-traditional-e en     OK        2962   2500      3       3          B      12/14         ok
how-to-build-a-data-first-culture-in-traditional-e zh-cn  OK        4201   3500      3       3          B      10/12         ok
how-to-build-a-data-first-culture-in-traditional-e zh-tw  OK        4209   3500      3       3          B      10/12         ok
data-lineage-automation-tools                      en     OK        2566   2500      3       3         HB      14/16         ok
data-lineage-automation-tools                      zh-cn  OK        3774   3500      3       3         HB      12/15         ok
data-lineage-automation-tools                      zh-tw  OK        3796   3500      3       3         HB      12/15         ok
semantic-layer-roi-enterprise-analytics            en     OK        2628   2500      3       3         HB      12/14         ok
semantic-layer-roi-enterprise-analytics            zh-cn  OK        3732   3500      3       3         HB      10/13         ok
semantic-layer-roi-enterprise-analytics            zh-tw  OK        3738   3500      3       3         HB      10/13         ok
knowledge-management-consulting-firms              en     OK        2534   2500      3       3         HB      13/15         ok
knowledge-management-consulting-firms              zh-cn  OK        3577   3500      3       3         HB      11/14         ok
knowledge-management-consulting-firms              zh-tw  OK        3597   3500      3       3         HB      11/14         ok
architecture-of-an-enterprise-ai-agent             en     OK        2646   2500      3       3         HB      12/14         ok
architecture-of-an-enterprise-ai-agent             zh-cn  OK        3667   3500      3       3          B      10/13         ok
architecture-of-an-enterprise-ai-agent             zh-tw  OK        3677   3500      3       3          B      10/13         ok
vector-embeddings-enterprise-search                en     OK        2645   2500      3       3         HB      15/17         ok
vector-embeddings-enterprise-search                zh-cn  OK        3876   3500      3       3         HB      11/14         ok
vector-embeddings-enterprise-search                zh-tw  OK        3890   3500      3       3         HB      11/14         ok
ai-governance-frameworks-enterprise-data-platforms en     OK        2678   2500      3       3         HB      14/15         ok
ai-governance-frameworks-enterprise-data-platforms zh-cn  OK        3793   3500      3       3         HB      11/12         ok
ai-governance-frameworks-enterprise-data-platforms zh-tw  OK        3796   3500      3       3         HB      11/12         ok
how-to-choose-conversational-bi-platform-buyers-gu en     OK        2660   2500      3       3         HB      14/15         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-cn  OK        3544   3500      3       3         HB      11/12         ok
how-to-choose-conversational-bi-platform-buyers-gu zh-tw  OK        3554   3500      3       3         HB      11/12         ok
cross-border-data-governance-framework             en     OK        2612   2500      3       3         HB      13/15         ok
cross-border-data-governance-framework             zh-cn  OK        3581   3500      3       3         HB      11/14         ok
cross-border-data-governance-framework             zh-tw  OK        3597   3500      3       3         HB      11/14         ok
federated-learning-for-privacy-preserving-enterpri en     OK        2549   2500      3       3          B      13/15         ok
federated-learning-for-privacy-preserving-enterpri zh-cn  OK        3745   3500      3       3          B      11/14         ok
federated-learning-for-privacy-preserving-enterpri zh-tw  OK        3767   3500      3       3          B      11/14         ok
multi-lingual-analytics-supporting-global-teams    en     OK        2569   2500      3       3          B      14/16         ok
multi-lingual-analytics-supporting-global-teams    zh-cn  OK        3618   3500      3       3          B      11/14         ok
multi-lingual-analytics-supporting-global-teams    zh-tw  OK        3650   3500      3       3          B      11/14         ok
best-llm-frameworks-enterprise-development-2026    en     OK        2599   2500      3       3         HB       9/10         ok
best-llm-frameworks-enterprise-development-2026    zh-cn  OK        3596   3500      3       3         HB      10/11         ok
best-llm-frameworks-enterprise-development-2026    zh-tw  OK        3611   3500      3       3         HB      10/11         ok
ai-regulation-united-states-2026                   en     OK        2782   2500      3       3         HB      12/14         ok
ai-regulation-united-states-2026                   zh-cn  OK        3579   3500      3       3         HB      11/14         ok
ai-regulation-united-states-2026                   zh-tw  OK        3583   3500      3       3         HB      11/14         ok
insurance-claims-ai-processing                     en     OK        2621   2500      3       3         HB      12/14         ok
insurance-claims-ai-processing                     zh-cn  OK        3750   3500      3       3         HB      12/14         ok
insurance-claims-ai-processing                     zh-tw  OK        3754   3500      3       3         HB      12/14         ok
what-is-agentic-bi-autonomous-analytics            en     OK        2586   2500      3       3         HB      14/15         ok
what-is-agentic-bi-autonomous-analytics            zh-cn  OK        3777   3500      3       3         HB      13/15         ok
what-is-agentic-bi-autonomous-analytics            zh-tw  OK        3721   3500      3       3         HB      12/14         ok
rows: 45
